"activity" "subject.id" "feature" "count" "average.value"
"1" "LAYING" 10 "fBodyAcc-mean()-X" 198 -0.391578450863636
"2" "LAYING" 10 "fBodyAcc-mean()-Y" 198 -0.384966594429798
"3" "LAYING" 10 "fBodyAcc-mean()-Z" 198 -0.554573027192929
"4" "LAYING" 10 "fBodyAcc-std()-X" 198 -0.393411346447475
"5" "LAYING" 10 "fBodyAcc-std()-Y" 198 -0.42583273029202
"6" "LAYING" 10 "fBodyAcc-std()-Z" 198 -0.511764535653535
"7" "LAYING" 10 "fBodyAccJerk-mean()-X" 198 -0.412057314516667
"8" "LAYING" 10 "fBodyAccJerk-mean()-Y" 198 -0.463058241109444
"9" "LAYING" 10 "fBodyAccJerk-mean()-Z" 198 -0.645684616799495
"10" "LAYING" 10 "fBodyAccJerk-std()-X" 198 -0.418627017293636
"11" "LAYING" 10 "fBodyAccJerk-std()-Y" 198 -0.466687914596465
"12" "LAYING" 10 "fBodyAccJerk-std()-Z" 198 -0.72073657040404
"13" "LAYING" 10 "fBodyAccMag-mean()" 198 -0.388684286908081
"14" "LAYING" 10 "fBodyAccMag-std()" 198 -0.535760386288384
"15" "LAYING" 10 "fBodyBodyAccJerkMag-mean()" 198 -0.385138891111111
"16" "LAYING" 10 "fBodyBodyAccJerkMag-std()" 198 -0.447367612044293
"17" "LAYING" 10 "fBodyBodyGyroJerkMag-mean()" 198 -0.710849269646465
"18" "LAYING" 10 "fBodyBodyGyroJerkMag-std()" 198 -0.741397840909091
"19" "LAYING" 10 "fBodyBodyGyroMag-mean()" 198 -0.572513090661616
"20" "LAYING" 10 "fBodyBodyGyroMag-std()" 198 -0.573538825626263
"21" "LAYING" 10 "fBodyGyro-mean()-X" 198 -0.523601248676313
"22" "LAYING" 10 "fBodyGyro-mean()-Y" 198 -0.545223158712121
"23" "LAYING" 10 "fBodyGyro-mean()-Z" 198 -0.458413809783333
"24" "LAYING" 10 "fBodyGyro-std()-X" 198 -0.612021917085859
"25" "LAYING" 10 "fBodyGyro-std()-Y" 198 -0.429815824722222
"26" "LAYING" 10 "fBodyGyro-std()-Z" 198 -0.556786812576768
"27" "LAYING" 10 "tBodyAcc-mean()-X" 198 0.276977089565657
"28" "LAYING" 10 "tBodyAcc-mean()-Y" 198 -0.0170332984576263
"29" "LAYING" 10 "tBodyAcc-mean()-Z" 198 -0.110873504487879
"30" "LAYING" 10 "tBodyAcc-std()-X" 198 -0.391986316171717
"31" "LAYING" 10 "tBodyAcc-std()-Y" 198 -0.385673788492929
"32" "LAYING" 10 "tBodyAcc-std()-Z" 198 -0.498647004568434
"33" "LAYING" 10 "tBodyAccJerk-mean()-X" 198 0.0794633942257576
"34" "LAYING" 10 "tBodyAccJerk-mean()-Y" 198 0.0169399674191919
"35" "LAYING" 10 "tBodyAccJerk-mean()-Z" 198 -0.0162372728227273
"36" "LAYING" 10 "tBodyAccJerk-std()-X" 198 -0.388135257723232
"37" "LAYING" 10 "tBodyAccJerk-std()-Y" 198 -0.446206050364596
"38" "LAYING" 10 "tBodyAccJerk-std()-Z" 198 -0.68333034690404
"39" "LAYING" 10 "tBodyAccJerkMag-mean()" 198 -0.462110641822066
"40" "LAYING" 10 "tBodyAccJerkMag-std()" 198 -0.409095655168687
"41" "LAYING" 10 "tBodyAccMag-mean()" 198 -0.357419738586162
"42" "LAYING" 10 "tBodyAccMag-std()" 198 -0.424185928311495
"43" "LAYING" 10 "tBodyGyro-mean()-X" 198 -0.0150986647713131
"44" "LAYING" 10 "tBodyGyro-mean()-Y" 198 -0.0917433860077424
"45" "LAYING" 10 "tBodyGyro-mean()-Z" 198 0.0852285528396465
"46" "LAYING" 10 "tBodyGyro-std()-X" 198 -0.58889324085202
"47" "LAYING" 10 "tBodyGyro-std()-Y" 198 -0.465358408925253
"48" "LAYING" 10 "tBodyGyro-std()-Z" 198 -0.496858788129293
"49" "LAYING" 10 "tBodyGyroJerk-mean()-X" 198 -0.111993956719192
